Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
EvolutionX,457734974,15,14,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R4
EvolutionX,457734974,25,15,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Gideon R3
EvolutionX,457734974,35,0,35,Padme/BB: Padme Hunter G10 Echo G9 Tech G9 Wrecker G9
Mando Dalrissian,538342162,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Mando Dalrissian,538342162,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Mando Dalrissian,538342162,10,1,9,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak
AJ,134248776,2,2,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
AJ,134248776,31,29,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
AJ,134248776,19,12,7,JMLS: JMLS JKL JKR R4 GMY G12 HYoda
AJ,134248776,23,6,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Shatteredstars23,898734925,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Shatteredstars23,898734925,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Shatteredstars23,898734925,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Shatteredstars23,898734925,1,0,1,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R4
Shatteredstars23,898734925,3,0,3,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R2
TomServo3K,691942843,2,2,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
TomServo3K,691942843,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
TomServo3K,691942843,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
TomServo3K,691942843,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
TomServo3K,691942843,35,35,0,Padme/BB: Padme Hunter Echo Tech Wrecker
TomServo3K,691942843,21,8,13,Troopers: Veers Piett Dark Trooper G11 Range Trooper G12 Starck
AtillaDX,476411885,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
AtillaDX,476411885,2,0,2,JMK: JMK CAT R4 GK GAS R4 Ahsoka Tano (Snips)
AtillaDX,476411885,22,0,22,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Gideon G13
AtillaDX,476411885,11,1,10,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio R1
AtillaDX,476411885,21,0,21,Padme/BB: Padme R4 Hunter G13 Echo G13 Tech G13 Wrecker G13
okeefechris,463248232,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
okeefechris,463248232,11,11,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
okeefechris,463248232,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Walliamen,121156657,7,7,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Walliamen,121156657,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Walliamen,121156657,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Walliamen,121156657,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Walliamen,121156657,17,11,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Walliamen,121156657,37,10,27,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Starck G12
Lance,891594698,23,23,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Lance,891594698,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Lance,891594698,24,18,6,CLS: CLS C-3PO Han Chewbacca Chewpio G12
Lance,891594698,17,0,17,Troopers: Veers Piett Dark Trooper G7 4* Range Trooper G12 Starck
Lance,891594698,41,2,39,Padme/BB: Padme Hunter G9 5* Echo G8 5* Tech G8 5* Wrecker G8 4*
Alexandder,266693162,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Alexandder,266693162,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Alexandder,266693162,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Alexandder,266693162,4,4,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Alexandder,266693162,16,14,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Shoretrooper R3
Alexandder,266693162,38,36,2,Padme/BB: Padme Hunter Echo Tech R3 Wrecker
Alexandder,266693162,6,0,6,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon R3
Sammy TF1,866892379,40,6,34,EP: EP G12 Mara Jade, The Emperor's Hand G8 Vader Thrawn G10 RG G8
Enigxma,388567885,6,6,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Enigxma,388567885,27,1,26,CLS: CLS G13 C-3PO R3 Han G12 Chewbacca G12 Chewpio G11
Jayson Bourne,838351578,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Jayson Bourne,838351578,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Jayson Bourne,838351578,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Jayson Bourne,838351578,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jayson Bourne,838351578,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Jayson Bourne,838351578,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Jayson Bourne,838351578,14,0,14,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper R1 Gideon R3
Hatton,755731115,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Hatton,755731115,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak
Hatton,755731115,7,0,7,Troopers: Veers Piett Dark Trooper Range Trooper G11 Starck
Hatton,755731115,44,0,44,Padme/BB: Padme G12 Hunter G8 Echo G9 Tech G8 Wrecker G9
Yasie Qui,347197687,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Yasie Qui,347197687,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Yasie Qui,347197687,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Yasie Qui,347197687,10,10,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Yasie Qui,347197687,19,2,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Bad Fish,314563379,11,11,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Bad Fish,314563379,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Bad Fish,314563379,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Bad Fish,314563379,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bad Fish,314563379,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Starck
Bad Fish,314563379,40,1,39,Padme/BB: Padme Hunter G8 Echo G8 5* Tech G9 Wrecker G8
Garrett,738165836,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Garrett,738165836,13,0,13,EP: EP Mara Jade, The Emperor's Hand Vader G12 Thrawn G11 Malak
Garrett,738165836,26,16,10,CLS: CLS R3 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
Spyro08,363183593,29,16,13,EP: EP Mara Jade, The Emperor's Hand G11 4* Vader Thrawn G12 Malak
Spyro08,363183593,47,16,31,Padme/BB: Padme G9 Hunter R3 Echo G12 Tech G11 6* Wrecker G11 6*
Spyro08,363183593,33,0,33,CLS: CLS G12 C-3PO G11 5* Han G12 Chewbacca G12 Chewpio G10 4*
Baron Salis,495736288,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Baron Salis,495736288,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Baron Salis,495736288,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Baron Salis,495736288,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Baron Salis,495736288,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Baron Salis,495736288,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Baron Salis,495736288,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Wayne brady,636166686,11,9,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R3
Wayne brady,636166686,12,0,12,CLS: CLS C-3PO R4 Han R4 Chewbacca Chewpio G8 6*
Wayne brady,636166686,23,9,14,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper G12 Gideon R2
Wayne brady,636166686,45,12,33,Padme/BB: Padme Hunter G10 6* Echo G10 5* Tech G10 5* Wrecker G9 5*
Killbaza,276969236,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Killbaza,276969236,43,43,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Killbaza,276969236,24,18,6,CLS: CLS C-3PO Han Chewbacca Chewpio G12
Killbaza,276969236,31,0,31,Troopers: Veers R3 Piett Dark Trooper G3 5* Range Trooper G6 6* Starck R3
DarthGideon,588758768,13,7,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
DarthGideon,588758768,37,9,28,CLS: CLS C-3PO G11 Han G13 Chewbacca G13 Chewpio G7 6*
DarthGideon,588758768,43,11,32,Padme/BB: Padme Hunter G11 6* Echo G9 4* Tech G10 5* Wrecker G10 5*
Nd volk,647746167,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Nd volk,647746167,14,14,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Nd volk,647746167,8,8,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Nd volk,647746167,21,4,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Nd volk,647746167,36,5,31,Padme/BB: Padme Hunter G12 Echo G10 Tech G10 Wrecker G9
SliickMoose,493737815,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
SliickMoose,493737815,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SliickMoose,493737815,11,9,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
SliickMoose,493737815,43,27,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Bly,359469122,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Bly,359469122,11,11,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Bly,359469122,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
Bly,359469122,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bly,359469122,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Bly,359469122,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Bly,359469122,24,0,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
Swamp,343599234,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Swamp,343599234,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Swamp,343599234,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Swamp,343599234,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Swamp,343599234,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Swamp,343599234,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Swamp,343599234,42,42,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Mitth'raw'nuruodo,354636964,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Mitth'raw'nuruodo,354636964,41,6,35,CLS: CLS G12 C-3PO G7 Han G13 Chewbacca G13 Chewpio G10
Atlan,164699813,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Atlan,164699813,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Atlan,164699813,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Atlan,164699813,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Atlan,164699813,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Atlan,164699813,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Atlan,164699813,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Jam Destroyer,162392461,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Jam Destroyer,162392461,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Jam Destroyer,162392461,8,8,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jam Destroyer,162392461,2,0,2,JMK: JMK CAT GK GAS Ahsoka Tano (Snips) R3
Pacojonezl40,556288426,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Pacojonezl40,556288426,2,2,0,JMLS: JMLS JKL JKR GMY HYoda
Pacojonezl40,556288426,17,17,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Pacojonezl40,556288426,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Pacojonezl40,556288426,25,7,18,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Gideon R1
Pacojonezl40,556288426,46,18,28,Padme/BB: Padme Hunter G11 Echo G9 Tech G12 Wrecker G12
Scorn,881485362,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Scorn,881485362,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Scorn,881485362,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Scorn,881485362,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Scorn,881485362,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Scorn,881485362,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Scorn,881485362,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Timber,273814442,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Timber,273814442,6,6,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Timber,273814442,2,2,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Timber,273814442,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Timber,273814442,6,1,5,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon R4
Timber,273814442,40,3,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
Veskasa Starblazer,987221192,32,32,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Veskasa Starblazer,987221192,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Veskasa Starblazer,987221192,13,13,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Veskasa Starblazer,987221192,25,6,19,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Starck R3
Veskasa Starblazer,987221192,43,5,38,Padme/BB: Padme Hunter G9 6* Echo G8 5* Tech G9 6* Wrecker G8 6*
Pale Mandius,297974276,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Pale Mandius,297974276,6,6,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Pale Mandius,297974276,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Pale Mandius,297974276,18,18,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Pale Mandius,297974276,3,1,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Pale Mandius,297974276,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
JeyLuckiDarkLord,835762411,8,6,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
JeyLuckiDarkLord,835762411,36,5,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11
JeyLuckiDarkLord,835762411,45,0,45,Padme/BB: Padme G12 Hunter G9 5* Echo G8 5* Tech G8 5* Wrecker G8 5*
DragonGodC16,965759793,25,24,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
DragonGodC16,965759793,16,4,12,EP: EP Mara Jade, The Emperor's Hand Vader R4 Thrawn G8 Malak R4
Stillbucket,325189745,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Stillbucket,325189745,14,14,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Stillbucket,325189745,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Stillbucket,325189745,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Stillbucket,325189745,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Stillbucket,325189745,42,2,40,Padme/BB: Padme Hunter G8 4* Echo G8 3* Tech G8 4* Wrecker G8 3*
Quidamlefou,461462591,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Quidamlefou,461462591,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Quidamlefou,461462591,37,37,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Quidamlefou,461462591,11,5,6,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Malak
Quidamlefou,461462591,24,1,23,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G8 Starck R3
The Frozen One,429155696,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
The Frozen One,429155696,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
The Frozen One,429155696,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
The Frozen One,429155696,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
The Frozen One,429155696,17,0,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
The Frozen One,429155696,44,3,41,Padme/BB: Padme Hunter G9 Echo G5 6* Tech G9 Wrecker G8
Crow,253356994,18,9,9,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak
Crow,253356994,46,15,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11
Asha,276858749,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Asha,276858749,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Asha,276858749,11,11,0,JMLS: JMLS JKL JKR GMY HYoda
Asha,276858749,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Asha,276858749,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Asha,276858749,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ᜎའดཧดཀاᜎཛ,856871329,3,3,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
ᜎའดཧดཀاᜎཛ,856871329,20,6,14,Troopers: Veers Piett Dark Trooper G12 Range Trooper G12 Starck R3
Boshund,476923873,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Boshund,476923873,0,0,0,JMK: JMK CAT GK GAS Ahsoka Tano (Snips)
Boshund,476923873,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Boshund,476923873,18,18,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Boshund,476923873,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Boshund,476923873,17,2,15,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper R3 Starck R3
Boshund,476923873,36,8,28,Padme/BB: Padme Hunter G11 Echo G10 6* Tech G10 Wrecker G13
