Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bly,359469122,24,0,24,Padme/BB: Padme Hunter G12 Echo G12 Tech G12 Wrecker G12
Trxzzy,369576688,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Trxzzy,369576688,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R3
Trxzzy,369576688,11,0,11,JMLS: JMLS JKL JKR R3 GMY G9 HYoda
Trxzzy,369576688,8,0,8,Troopers: Veers Piett Dark Trooper R3 Range Trooper G12 Gideon
Grampa Tim,743537648,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Grampa Tim,743537648,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Grampa Tim,743537648,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Grampa Tim,743537648,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Grampa Tim,743537648,37,37,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Grampa Tim,743537648,15,0,15,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G9 6* Gideon R3
Sammy TF1,866892379,40,3,37,EP: EP G12 Mara Jade, The Emperor's Hand G5 5* Vader Thrawn G10 RG G8
Timber,273814442,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Timber,273814442,6,6,0,JMK: JMK CAT GK GAS Ahsoka
Timber,273814442,2,2,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Timber,273814442,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Timber,273814442,6,1,5,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon R4
Timber,273814442,40,3,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
Pale Mandius,297974276,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Pale Mandius,297974276,6,6,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Pale Mandius,297974276,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Pale Mandius,297974276,18,18,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Pale Mandius,297974276,3,1,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Pale Mandius,297974276,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Crow,253356994,18,2,16,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G9 Malak G11 6*
Crow,253356994,46,15,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11
Veskasa Starblazer,987221192,32,32,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Veskasa Starblazer,987221192,13,13,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Veskasa Starblazer,987221192,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Veskasa Starblazer,987221192,25,6,19,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Starck R3
Veskasa Starblazer,987221192,43,0,43,Padme/BB: Padme Hunter G7 5* Echo G7 4* Tech G8 5* Wrecker G7 5*
Snipesum,355457861,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Snipesum,355457861,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Snipesum,355457861,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Snipesum,355457861,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Snipesum,355457861,12,12,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Snipesum,355457861,6,0,6,SEE: SEE Malak Darth Malgus BSF G12 DR
Alexandder,266693162,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Alexandder,266693162,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Alexandder,266693162,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Alexandder,266693162,4,4,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Alexandder,266693162,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Alexandder,266693162,32,20,12,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Starck R3
Alexandder,266693162,38,30,8,Padme/BB: Padme Hunter R3 Echo R3 Tech R3 Wrecker R3
Battlelord,597311355,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
Battlelord,597311355,2,0,2,JMK: JMK CAT GK GAS Ahsoka R3
Battlelord,597311355,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Battlelord,597311355,11,7,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 Malak R3
Battlelord,597311355,22,5,17,Troopers: Veers R2 Piett Dark Trooper G13 Range Trooper G13 Starck R1
Battlelord,597311355,22,0,22,Padme/BB: Padme R3 Hunter G13 Echo G13 Tech G13 Wrecker G13
The Frozen One,429155696,0,0,0,JMK: JMK CAT GK GAS Ahsoka
The Frozen One,429155696,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
The Frozen One,429155696,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
The Frozen One,429155696,1,0,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
The Frozen One,429155696,17,0,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
The Frozen One,429155696,44,3,41,Padme/BB: Padme Hunter G9 Echo G5 6* Tech G9 Wrecker G8
Yasie Qui,347197687,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Yasie Qui,347197687,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Yasie Qui,347197687,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Yasie Qui,347197687,10,10,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Yasie Qui,347197687,19,2,17,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Stillbucket,325189745,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Stillbucket,325189745,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Stillbucket,325189745,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Stillbucket,325189745,14,12,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Stillbucket,325189745,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
Stillbucket,325189745,42,0,42,Padme/BB: Padme R3 Hunter G8 4* Echo G8 3* Tech G8 4* Wrecker G8 3*
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ᜎའดཧดཀاᜎཛ,856871329,3,3,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,JMK: JMK CAT GK GAS Ahsoka
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
ᜎའดཧดཀاᜎཛ,856871329,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
ᜎའดཧดཀاᜎཛ,856871329,20,6,14,Troopers: Veers Piett Dark Trooper G12 Range Trooper G12 Starck R3
EvolutionX,457734974,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
EvolutionX,457734974,10,10,0,JMK: JMK CAT GK GAS Ahsoka
EvolutionX,457734974,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
EvolutionX,457734974,15,14,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R4
EvolutionX,457734974,25,15,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Gideon R3
EvolutionX,457734974,35,0,35,Padme/BB: Padme Hunter G10 Echo G9 Tech G9 Wrecker G9
SliickMoose,493737815,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
SliickMoose,493737815,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
SliickMoose,493737815,11,9,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
SliickMoose,493737815,43,27,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
ぱんどら,832179698,31,28,3,CLS: CLS C-3PO R4 Han Chewbacca Chewpio R3
ぱんどら,832179698,14,0,14,JMK: JMK G9 CAT R2 GK GAS Ahsoka R3
ぱんどら,832179698,37,12,25,EP: EP G12 Mara Jade, The Emperor's Hand R1 Vader Thrawn G9 Malak G12
ぱんどら,832179698,41,9,32,Padme/BB: Padme Hunter G11 Echo G10 Tech G10 Wrecker G9
ぱんどら,832179698,41,1,40,Troopers: Veers G12 Piett G9 4* Dark Trooper G9 6* Range Trooper G11 5* Starck G9
Boshund,476923873,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Boshund,476923873,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Boshund,476923873,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Boshund,476923873,18,18,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Boshund,476923873,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Boshund,476923873,17,2,15,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper R3 Starck R3
Boshund,476923873,36,8,28,Padme/BB: Padme Hunter G11 Echo G10 6* Tech G10 6* Wrecker G13
Wayne brady,636166686,11,9,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R3
Wayne brady,636166686,12,0,12,CLS: CLS C-3PO R4 Han R4 Chewbacca Chewpio G8 5*
Wayne brady,636166686,23,9,14,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper G12 Gideon R2
Wayne brady,636166686,45,11,34,Padme/BB: Padme Hunter G10 5* Echo G10 5* Tech G10 5* Wrecker G8 5*
DragonGodC16,965759793,25,19,6,CLS: CLS R4 C-3PO Han G13 Chewbacca Chewpio
DragonGodC16,965759793,16,4,12,EP: EP Mara Jade, The Emperor's Hand Vader R4 Thrawn G8 Malak R4
Bort Moddler,875657132,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Bort Moddler,875657132,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Bort Moddler,875657132,2,2,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Bort Moddler,875657132,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bort Moddler,875657132,36,4,32,Padme/BB: Padme Hunter G11 Echo G12 Tech G9 Wrecker G8
Bort Moddler,875657132,36,0,36,Troopers: Veers R3 Piett G10 Dark Trooper G7 6* Range Trooper G9 Starck G12
Spyro08,363183593,29,10,19,EP: EP Mara Jade, The Emperor's Hand G11 4* Vader Thrawn G12 Malak G12
Spyro08,363183593,47,7,40,Padme/BB: Padme G9 Hunter G12 Echo G10 5* Tech G10 5* Wrecker G9 5*
Enigxma,388567885,27,1,26,CLS: CLS G13 C-3PO R3 Han G12 Chewbacca G12 Chewpio G11
Swamp,343599234,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Swamp,343599234,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Swamp,343599234,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Swamp,343599234,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Swamp,343599234,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Swamp,343599234,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Swamp,343599234,42,42,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Jayson Bourne,838351578,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Jayson Bourne,838351578,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Jayson Bourne,838351578,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Jayson Bourne,838351578,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jayson Bourne,838351578,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Jayson Bourne,838351578,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Jayson Bourne,838351578,14,0,14,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper R1 Gideon R3
DarthLove,561294116,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
DarthLove,561294116,8,0,8,CLS: CLS C-3PO R3 Han Chewbacca Chewpio G12
DarthLove,561294116,11,0,11,Troopers: Veers R4 Piett Dark Trooper R3 Range Trooper G12 Starck R3
DarthLove,561294116,37,0,37,Padme/BB: Padme Hunter G9 5* Echo G9 5* Tech G9 5* Wrecker G8
Nd volk,647746167,14,14,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Nd volk,647746167,8,8,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Nd volk,647746167,10,4,6,JMLS: JMLS G12 JKL JKR GMY HYoda
Nd volk,647746167,21,0,21,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G12 Starck R3
Nd volk,647746167,36,5,31,Padme/BB: Padme Hunter G12 Echo G10 Tech G10 Wrecker G9
Killbaza,276969236,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Killbaza,276969236,43,43,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Killbaza,276969236,24,17,7,CLS: CLS C-3PO Han Chewbacca Chewpio G11 6*
Killbaza,276969236,31,0,31,Troopers: Veers R3 Piett Dark Trooper G3 5* Range Trooper G6 6* Starck R3
Shatteredstars23,898734925,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Shatteredstars23,898734925,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Shatteredstars23,898734925,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Shatteredstars23,898734925,1,0,1,JMK: JMK CAT GK GAS Ahsoka R4
Shatteredstars23,898734925,3,0,3,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R2
TomServo3K,691942843,2,2,0,JMK: JMK CAT GK GAS Ahsoka
TomServo3K,691942843,6,6,0,JMLS: JMLS JKL JKR GMY HYoda
TomServo3K,691942843,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
TomServo3K,691942843,1,1,0,CLS: CLS C-3PO Han Chewbacca Chewpio
TomServo3K,691942843,35,29,6,Padme/BB: Padme Hunter Echo Tech Wrecker G12
TomServo3K,691942843,21,8,13,Troopers: Veers Piett Dark Trooper G11 Range Trooper G12 Starck
DarthGideon,588758768,13,7,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
DarthGideon,588758768,37,5,32,CLS: CLS C-3PO G11 Han G12 Chewbacca G10 Chewpio G7 5*
DarthGideon,588758768,43,6,37,Padme/BB: Padme G13 Hunter G11 6* Echo G9 4* Tech G10 5* Wrecker G10 5*
Lance,891594698,23,23,0,JMK: JMK CAT GK GAS Ahsoka
Lance,891594698,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Lance,891594698,24,11,13,CLS: CLS C-3PO Han G12 Chewbacca Chewpio G11 6*
Lance,891594698,17,0,17,Troopers: Veers Piett Dark Trooper G7 4* Range Trooper G12 Starck
Lance,891594698,41,2,39,Padme/BB: Padme Hunter G9 5* Echo G8 5* Tech G8 5* Wrecker G8 4*
Garrett,738165836,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Garrett,738165836,13,0,13,EP: EP Mara Jade, The Emperor's Hand Vader G12 Thrawn G11 Malak
Garrett,738165836,26,16,10,CLS: CLS R3 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
Jam Destroyer,162392461,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Jam Destroyer,162392461,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Jam Destroyer,162392461,8,8,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jam Destroyer,162392461,2,0,2,JMK: JMK CAT GK GAS Ahsoka R3
Pacojonezl40,556288426,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Pacojonezl40,556288426,2,2,0,JMLS: JMLS JKL JKR GMY HYoda
Pacojonezl40,556288426,17,17,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Pacojonezl40,556288426,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Pacojonezl40,556288426,25,7,18,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Gideon R1
Pacojonezl40,556288426,46,7,39,Padme/BB: Padme R3 Hunter G9 Echo G9 Tech G9 Wrecker G8
Quidamlefou,461462591,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Quidamlefou,461462591,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Quidamlefou,461462591,37,37,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Quidamlefou,461462591,11,5,6,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Malak
Quidamlefou,461462591,24,1,23,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G8 Starck R3
JeyLuckiDarkLord,835762411,8,6,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
JeyLuckiDarkLord,835762411,36,5,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11
JeyLuckiDarkLord,835762411,45,0,45,Padme/BB: Padme G12 Hunter G9 5* Echo G8 5* Tech G8 5* Wrecker G8 5*
Walliamen,121156657,7,7,0,JMK: JMK CAT GK GAS Ahsoka
Walliamen,121156657,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Walliamen,121156657,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Walliamen,121156657,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Walliamen,121156657,17,11,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Walliamen,121156657,37,10,27,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G12 Starck G12
